keywords,url_1,url_2,url_3,url_4,url_5
keyboard,https://search.rakuten.co.jp/search/mall/keyboard/,https://search.rakuten.co.jp/search/mall/keyboard/?p=2,https://search.rakuten.co.jp/search/mall/keyboard/?p=3,https://search.rakuten.co.jp/search/mall/keyboard/?p=4,https://search.rakuten.co.jp/search/mall/keyboard/?p=5
mouse,https://search.rakuten.co.jp/search/mall/mouse/,https://search.rakuten.co.jp/search/mall/mouse/?p=2,https://search.rakuten.co.jp/search/mall/mouse/?p=3,https://search.rakuten.co.jp/search/mall/mouse/?p=4,https://search.rakuten.co.jp/search/mall/mouse/?p=5
