keywords,url_1,url_2
keyboard,https://www.biccamera.com/bc/category/?q=keyboard,https://www.biccamera.com/bc/category/?q=keyboard&p=2
mouse,https://www.biccamera.com/bc/category/?q=mouse,https://www.biccamera.com/bc/category/?q=mouse&p=2
