keywords,url_1,url_2,url_3,url_4,url_5
keyboard,https://www.amazon.co.jp/s?k=keyboard&__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&ref=nb_sb_noss,https://www.amazon.co.jp/s?k=keyboard&page=2,https://www.amazon.co.jp/s?k=keyboard&page=3,https://www.amazon.co.jp/s?k=keyboard&page=4,https://www.amazon.co.jp/s?k=keyboard&page=5
mouse,https://www.amazon.co.jp/s?k=mouse&__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&ref=nb_sb_noss,https://www.amazon.co.jp/s?k=mouse&page=2,https://www.amazon.co.jp/s?k=mouse&page=3,https://www.amazon.co.jp/s?k=mouse&page=4,https://www.amazon.co.jp/s?k=mouse&page=5
