keywords,url_1,url_2
keyboard,https://search.rakuten.co.jp/search/mall/keyboard/,https://search.rakuten.co.jp/search/mall/keyboard/?p=2
mouse,https://search.rakuten.co.jp/search/mall/mouse/,https://search.rakuten.co.jp/search/mall/mouse/?p=2
